name,country,span,matches,innings,overs,madiens,runs,wickets,best_bowling_figure,average,economy,strike_rate,4-fer,5-fer
AB Agarkar,INDIA,2006-2007,4,3,10.3,1,85,3,2/10,28.33,8.09,21.0,0,0
Ahmadullah Shinwari,NOR,2021-2022,5,5,16.0,0,87,3,2/22,29.00,5.43,32.0,0,0
Ahsan Khan,BUL,2021-2022,9,9,20.0,0,211,3,1/10,70.33,10.55,40.0,0,0
Akif Raja,UAE,2021-2022,3,3,8.0,0,68,3,3/22,22.66,8.50,16.0,0,0
S Appu,MLT,2019-2019,4,4,9.0,0,74,3,1/21,24.66,8.22,18.0,0,0
Asad Mohammad,GER,2019-2021,11,10,29.0,0,191,3,2/23,63.66,6.58,58.0,0,0
Ashish Rana,EST,2021-2021,4,3,7.0,0,48,3,3/14,16.00,6.85,14.0,0,0
V Ateak,Ghana,2019-2019,4,3,11.0,0,94,3,2/36,31.33,8.54,22.0,0,0
MS Aulakh,CAN,2012-2013,3,3,9.0,0,82,3,2/40,27.33,9.11,18.0,0,0
GG Banner,Blz,2019-2021,9,2,5.3,0,34,3,2/10,11.33,6.18,11.0,0,0
S Bantzas,GRC,2019-2019,1,1,3.0,0,12,3,3/12,4.00,4.00,6.0,0,0
Baz Aybui,SWE,2021-2022,6,5,11.0,0,78,3,1/10,26.00,7.09,22.0,0,0
F Behardien,SA,2012-2018,38,3,5.0,0,27,3,2/15,9.00,5.40,10.0,0,0
SM Boland,AUS,2016-2016,3,3,11.0,0,90,3,3/26,30.00,8.18,22.0,0,0
M Breban,GUE,2020-2020,1,1,4.0,0,24,3,3/24,8.00,6.00,8.0,0,0
PR Brown,ENG,2019-2019,4,4,13.0,0,128,3,1/29,42.66,9.84,26.0,0,0
P Buccimazza,PORT,2019-2021,7,4,13.0,0,86,3,2/18,28.66,6.61,26.0,0,0
N Buckle,GUE,2019-2019,3,3,10.0,0,76,3,3/26,25.33,7.60,20.0,0,0
T Bukenya,UGA,2020-2021,4,4,14.0,0,133,3,2/19,44.33,9.50,28.0,0,0
CG Burnett,SCOT,2013-2013,1,1,4.0,0,18,3,3/18,6.00,4.50,8.0,0,0
WAE Burton,SRB,2021-2021,4,3,7.2,0,79,3,3/29,26.33,10.77,14.6,0,0
ML Castillo,Blz,2021-2021,5,3,12.0,1,79,3,2/20,26.33,6.58,24.0,0,0
M Chauhan,Fin,2019-2019,2,2,8.0,1,38,3,2/16,12.66,4.75,16.0,0,0
TLW Cooper,NED,2012-2016,18,9,17.0,0,132,3,2/18,44.00,7.76,34.0,0,0
R Cunningham,GIBR,2021-2022,7,3,6.2,0,78,3,1/16,26.00,12.31,12.6,0,0
BCJ Cutting,AUS/World,2013-2017,7,7,21.0,0,215,3,1/18,71.66,10.23,42.0,0,0
DC Drakes,WI,2021-2022,5,5,16.0,0,177,3,1/37,59.00,11.06,32.0,0,0
A Dutt,NED,2021-2021,4,4,7.0,0,76,3,2/14,25.33,10.85,14.0,0,0
RMS Eranga,SL,2012-2013,3,3,11.0,0,90,3,2/30,30.00,8.18,22.0,0,0
L Evile,Samoa,2019-2019,4,4,12.0,1,67,3,1/0,22.33,5.58,24.0,0,0
Farhan Ahmed,UAE,2016-2016,3,3,9.0,0,66,3,2/28,22.00,7.33,18.0,0,0
Fawad Ahmed,AUS,2013-2013,2,2,8.0,0,68,3,3/25,22.66,8.50,16.0,0,0
Fayaz Khan,GER,2021-2022,6,4,12.0,0,87,3,2/33,29.00,7.25,24.0,0,0
ST Gabriel,WI,2013-2013,2,2,7.0,0,56,3,3/44,18.66,8.00,14.0,0,0
CJ Gannon,USA,2019-2019,4,3,9.0,0,67,3,2/21,22.33,7.44,18.0,0,0
Gaurav Mishra,ROM,2022-2022,6,6,17.0,0,128,3,1/17,42.66,7.52,34.0,0,0
D Gough,ENG,2005-2006,2,2,6.5,0,49,3,3/16,16.33,7.17,13.6,0,0
TGJ Gruijters,NED,2012-2013,8,5,12.0,0,74,3,1/5,24.66,6.16,24.0,0,0
HF Gurney,ENG,2014-2014,2,2,8.0,0,55,3,2/26,18.33,6.87,16.0,0,0
AJ Hall,SA,2006-2006,2,2,8.0,0,60,3,3/22,20.00,7.50,16.0,0,0
LHB Harrington-Myers,Caym,2019-2022,9,4,8.0,0,68,3,2/13,22.66,8.50,16.0,0,0
SM Harwood,AUS,2007-2009,3,3,12.0,0,113,3,2/21,37.66,9.41,24.0,0,0
Hayatullah Niazi,NOR,2019-2019,4,4,10.0,0,81,3,1/19,27.00,8.10,20.0,0,0
J Hill,PHI,2019-2022,8,2,6.0,0,50,3,2/27,16.66,8.33,12.0,0,0
J Hirschi,MLT,2019-2019,4,4,11.0,0,96,3,2/18,32.00,8.72,22.0,0,0
Huzaifa Mohammed,PHI,2022-2022,5,5,17.5,0,159,3,1/21,53.00,8.91,35.6,0,0
Ibrahim Rizan,Mald,2019-2021,12,8,17.1,0,137,3,1/16,45.66,7.98,34.3,0,0
B Jagroo,Bhm,2021-2022,9,6,10.0,0,97,3,2/34,32.33,9.70,20.0,0,0
YYM Jakda,LES,2021-2021,6,6,18.0,0,180,3,2/32,60.00,10.00,36.0,0,0
D Jakiel,ZIM,2019-2019,2,2,7.0,0,44,3,2/27,14.66,6.28,14.0,0,0
GSNFG Jayasuriya,SL,2015-2020,18,11,22.5,0,213,3,1/11,71.00,9.32,45.6,0,0
M Jele,,2021-2021,4,4,8.0,0,63,3,2/27,21.00,7.87,16.0,0,0
NR Johns-Wickberg,SRB,2021-2021,4,3,7.0,0,58,3,3/19,19.33,8.28,14.0,0,0
RR Joshi,CAN,2021-2022,3,3,8.0,1,41,3,1/4,13.66,5.12,16.0,0,0
Kaleem Shah,MOZ,2019-2019,7,6,17.0,0,130,3,2/24,43.33,7.64,34.0,0,0
SI Kamea,PNG,2022-2022,2,2,8.0,1,67,3,3/28,22.33,8.37,16.0,0,0
D Kansonkho,MWI,2019-2021,13,9,22.0,0,185,3,1/15,61.66,8.40,44.0,0,0
LP Kasturiarachchige,Aut,2021-2021,5,5,16.0,0,130,3,2/18,43.33,8.12,32.0,0,0
E Katchay,CAN,2008-2008,4,4,10.0,0,71,3,1/18,23.66,7.10,20.0,0,0
SKW Kelly,BMUDA,2008-2008,3,3,7.0,0,50,3,2/18,16.66,7.14,14.0,0,0
P Kerai,KENYA,2019-2019,6,5,11.0,0,82,3,3/15,27.33,7.45,22.0,0,0
Khaibar Deldar,HUN,2021-2022,13,4,10.0,0,106,3,1/17,35.33,10.60,20.0,0,0
J Kila,PNG,2019-2022,16,9,17.0,0,99,3,1/5,33.00,5.82,34.0,0,0
AC Kose,TKY,2019-2019,4,2,8.0,0,116,3,2/62,38.66,14.50,16.0,0,0
N Krishna,SEY,2021-2021,6,5,13.0,0,108,3,2/29,36.00,8.30,26.0,0,0
DS Kulkarni,INDIA,2016-2016,2,2,8.0,0,55,3,2/23,18.33,6.87,16.0,0,0
C Kyewuta,UGA,2021-2022,5,5,17.0,1,103,3,1/18,34.33,6.05,34.0,0,0
CJ Langford,IOM,2020-2021,4,4,10.3,0,59,3,1/8,19.66,5.61,21.0,0,0
NCK Liyanage,MAL,2019-2019,6,5,14.0,0,100,3,1/19,33.33,7.14,28.0,0,0
JN Loftie-Eaton,NAM,2021-2022,19,10,23.1,0,168,3,2/21,56.00,7.25,46.3,0,0
DL Maddy,ENG,2007-2007,4,2,3.0,0,26,3,2/6,8.66,8.66,6.0,0,0
SSB Magala,SA,2021-2021,4,4,14.0,0,138,3,2/33,46.00,9.85,28.0,0,0
SI Mahmood,ENG,2006-2009,4,4,14.0,0,155,3,1/31,51.66,11.07,28.0,0,0
GT Main,SCOT,2015-2021,5,3,7.0,0,51,3,1/13,17.00,7.28,14.0,0,0
MSS Mandy,Chile,2019-2019,4,3,8.0,0,43,3,2/19,14.33,5.37,16.0,0,0
Mansoor Amjad,PAK,2008-2008,1,1,1.0,0,3,3,3/3,1.00,3.00,2.0,0,0
DE Martel,GUE,2022-2022,5,5,16.2,0,106,3,1/8,35.33,6.48,32.6,0,0
B Masaba,UGA,2019-2022,14,4,14.0,0,79,3,2/14,26.33,5.64,28.0,0,0
B Mavuta,ZIM,2018-2022,9,9,25.0,0,201,3,1/19,67.00,8.04,50.0,0,0
T Mishra,KENYA,2007-2013,15,2,5.0,0,33,3,3/25,11.00,6.60,10.0,0,0
K Modise,BOT,2019-2019,3,2,5.0,0,41,3,3/18,13.66,8.20,10.0,0,0
Mohammad Ghazanfar,HKG,2019-2019,5,5,14.0,0,85,3,2/11,28.33,6.07,28.0,0,0
Muhammad Waseem,UAE,2021-2022,12,3,3.4,0,26,3,2/13,8.66,7.09,7.3,0,0
Musa Shaheen,DEN,2019-2022,10,1,2.2,0,11,3,3/11,3.66,4.71,4.6,0,0
Mustapha Yusuf,NGA,2021-2021,5,5,14.0,0,120,3,1/18,40.00,8.57,28.0,0,0
M Mwamadi,MWI,2019-2021,9,4,10.2,0,76,3,2/27,25.33,7.35,20.6,0,0
Naeem Islam,BAN,2008-2013,10,6,15.0,0,122,3,2/32,40.66,8.13,30.0,0,0
Noman Amjad,Fran,2021-2021,4,3,10.0,0,112,3,2/42,37.33,11.20,20.0,0,0
MP O'Dowd,NED,2015-2021,43,9,12.4,0,119,3,1/7,39.66,9.39,25.3,0,0
Omar Hussain,LES,2021-2021,6,4,8.0,0,72,3,2/28,24.00,9.00,16.0,0,0
HC Overdijk,NED,2018-2019,4,3,8.0,0,72,3,2/23,24.00,9.00,16.0,0,0
RJG Palmer,JER,2019-2022,5,5,13.0,0,75,3,1/10,25.00,5.76,26.0,0,0
SD Parry,ENG,2014-2015,5,5,16.0,0,138,3,2/33,46.00,8.62,32.0,0,0
N Pathan,THAI,2019-2020,8,5,7.4,0,79,3,1/11,26.33,10.30,15.3,0,0
JL Pattinson,AUS,2011-2012,4,4,13.0,0,104,3,2/17,34.66,8.00,26.0,0,0
MDK Perera,SL,2011-2011,3,3,10.0,0,72,3,3/26,24.00,7.20,20.0,0,0
R Pisal,ROM,2019-2019,1,1,3.0,0,4,3,3/4,1.33,1.33,6.0,0,0
P Raho,PNG,2016-2016,2,2,3.0,0,20,3,3/11,6.66,6.66,6.0,0,0
RJ Ranpura,OMA,2015-2016,3,2,6.0,0,32,3,2/17,10.66,5.33,12.0,0,0
WJR Robertson,JER,2019-2019,6,6,18.1,1,101,3,1/7,33.66,5.55,36.3,0,0
Bilal Safdar,NOR,2021-2022,9,3,11.0,0,59,3,3/17,19.66,5.36,22.0,0,0
Saqlain Ali,Belg,2019-2021,6,3,8.0,0,58,3,1/12,19.33,7.25,16.0,0,0
M Sert,TKY,2019-2019,4,4,10.0,0,93,3,2/38,31.00,9.30,20.0,0,0
Shahab Alam,NEPAL,2021-2022,4,4,11.0,0,123,3,1/20,41.00,11.18,22.0,0,0
A Shahzad,ENG,2010-2011,3,3,11.0,0,97,3,2/38,32.33,8.81,22.0,0,0
R Sharma,INDIA,2012-2012,2,2,7.2,0,56,3,2/29,18.66,7.63,14.6,0,0
Sher Sahak,NOR,2021-2022,9,4,5.4,0,47,3,1/10,15.66,8.29,11.3,0,0
DJM Short,AUS,2018-2020,23,9,19.0,0,151,3,1/13,50.33,7.94,38.0,0,0
PM Siddle,AUS,2009-2010,2,2,8.0,0,58,3,2/24,19.33,7.25,16.0,0,0
Sikander Zulfiqar,NED,2016-2019,11,7,10.0,0,79,3,1/9,26.33,7.90,20.0,0,0
KM Silva,,2019-2019,3,2,3.0,0,18,3,2/1,6.00,6.00,6.0,0,0
S Singh,PHI,2019-2019,4,4,11.0,0,110,3,3/32,36.66,10.00,22.0,0,0
C Smith,IOM,2021-2021,4,4,12.0,0,75,3,3/15,25.00,6.25,24.0,0,0
G Smith,Caym,2022-2022,3,2,8.0,0,54,3,2/18,18.00,6.75,16.0,0,0
A Srivastav,Chile,2019-2019,4,3,8.0,0,73,3,2/28,24.33,9.12,16.0,0,0
JH Stander,SCOT,2009-2012,11,7,13.3,0,156,3,2/24,52.00,11.55,27.0,0,0
ADL Stokoe,IOM,2021-2021,4,4,12.0,0,67,3,2/15,22.33,5.58,24.0,0,0
K Subramanian,SGP,2020-2020,1,1,4.0,0,27,3,3/27,9.00,6.75,8.0,0,0
Suhail Sadiq,LUX,2019-2019,2,2,6.0,0,45,3,2/13,15.00,7.50,12.0,0,0
M Swack,Caym,2022-2022,4,4,13.0,0,78,3,2/12,26.00,6.00,26.0,0,0
Tahir Dar,BHR,2019-2019,4,4,14.0,0,128,3,2/31,42.66,9.14,28.0,0,0
Tanveer Ahmed,HKG,2016-2017,5,5,13.3,0,116,3,2/29,38.66,8.59,27.0,0,0
AC Thomas,SA,2007-2007,1,1,4.0,0,25,3,3/25,8.33,6.25,8.0,0,0
SF Tiai,Samoa,2019-2019,4,4,11.0,0,82,3,2/16,27.33,7.45,22.0,0,0
NK Tiwari,CYP,2021-2021,6,6,18.0,0,127,3,3/30,42.33,7.05,36.0,0,0
DR Tuffey,NZ,2005-2010,3,3,10.0,0,93,3,2/16,31.00,9.30,20.0,0,0
HER Tyler,PHI,2019-2022,7,6,19.0,0,198,3,3/40,66.00,10.42,38.0,0,0
Usman Arif,NOR,2021-2021,4,3,8.0,0,66,3,1/16,22.00,8.25,16.0,0,0
MB van Schelven,NED,2015-2015,2,2,7.0,0,30,3,2/22,10.00,4.28,14.0,0,0
P Vekaria,RWN,2021-2021,8,7,21.0,0,157,3,1/15,52.33,7.47,42.0,0,0
K Vislapuu,EST,2021-2021,5,4,11.0,0,86,3,2/13,28.66,7.81,22.0,0,0
K Waiswa,UGA,2020-2022,15,5,14.0,0,144,3,2/41,48.00,10.28,28.0,0,0
RR Watson,SCOT,2007-2010,10,5,10.0,0,92,3,1/4,30.66,9.20,20.0,0,0
RM West,IRE,2009-2009,5,5,19.0,0,142,3,1/23,47.33,7.47,38.0,0,0
SG Whittingham,SCOT,2018-2018,3,3,10.0,0,79,3,2/33,26.33,7.90,20.0,0,0
C Wright,Caym,2019-2022,10,7,15.0,1,93,3,2/34,31.00,6.20,30.0,0,0
KJ Young,Blz,2019-2021,9,4,13.0,0,109,3,2/37,36.33,8.38,26.0,0,0
Younis Khan,PAK,2006-2010,25,1,3.4,0,18,3,3/18,6.00,4.90,7.3,0,0
Zahid Hussain,CAN,2012-2012,3,3,9.3,0,47,3,3/16,15.66,4.94,19.0,0,0
Zahid Mahmood,PAK,2021-2021,1,1,4.0,0,40,3,3/40,13.33,10.00,8.0,0,0
Zaki Ul Hassan,Belg,2019-2019,3,3,9.0,0,56,3,1/12,18.66,6.22,18.0,0,0
Ziaur Rahman,BAN,2012-2014,14,7,12.3,0,127,3,1/16,42.33,10.16,25.0,0,0
Aamer Yamin,PAK,2015-2018,2,2,6.0,0,37,2,1/12,18.50,6.16,18.0,0,0
YA Abdulla,SA,2009-2009,2,2,7.0,0,44,2,1/16,22.00,6.28,21.0,0,0
Abdullah Sheikh,NOR,2019-2022,5,4,12.0,0,79,2,1/19,39.50,6.58,36.0,0,0
Ahmadschah Ahmadzai,GER,2021-2021,1,1,2.0,0,24,2,2/24,12.00,12.00,6.0,0,0
Ahmed Hassan,Mald,2019-2021,15,5,7.3,0,81,2,1/8,40.50,10.80,22.5,0,0
Ali Waqar,CZK-R,2021-2021,6,6,18.0,0,152,2,1/19,76.00,8.44,54.0,0,0
Ali Naqi,PORT,2019-2019,4,4,10.0,0,65,2,2/20,32.50,6.50,30.0,0,0
Alok Kapali,BAN,2007-2011,7,2,5.0,0,35,2,2/12,17.50,7.00,15.0,0,0
DNA Ankrah,Ghana,2019-2019,4,4,12.0,1,85,2,1/21,42.50,7.08,36.0,0,0
Aphsal Ashraf,KUW,2020-2020,5,2,5.0,0,41,2,2/35,20.50,8.20,15.0,0,0
Apon Mustafizur,SRB,2019-2021,4,1,3.0,0,30,2,2/30,15.00,10.00,9.0,0,0
Aqib Ilyas,OMA,2015-2021,25,7,17.0,0,117,2,1/9,58.50,6.88,51.0,0,0
S Arachchige,ITA,2019-2019,4,4,6.0,0,42,2,2/15,21.00,7.00,18.0,0,0
Ashfaq Ahmed,UAE,2018-2019,12,2,6.0,0,34,2,1/14,17.00,5.66,18.0,0,0
Aswad Khan,BUL,2021-2021,3,3,5.0,0,58,2,2/16,29.00,11.60,15.0,0,0
SK Atai,PNG,2019-2022,12,5,9.0,0,66,2,1/6,33.00,7.33,27.0,0,0
Avesh Khan,INDIA,2022-2022,5,5,19.0,1,152,2,2/23,76.00,8.00,57.0,0,0
Aziz Sualley,Ghana,2021-2021,3,2,5.0,0,21,2,1/9,10.50,4.20,15.0,0,0
MO Bacarese,GIBR,2019-2019,3,3,12.0,0,51,2,1/15,25.50,4.25,36.0,0,0
LS Baker,WI,2008-2009,3,3,8.0,0,58,2,1/12,29.00,7.25,24.0,0,0
JT Ball,ENG,2018-2018,2,2,7.0,0,83,2,1/39,41.50,11.85,21.0,0,0
W Barresi,NED,2012-2019,42,3,5.4,0,49,2,1/3,24.50,8.64,17.0,0,0
JR Barry,Bhm,2021-2021,6,5,12.0,0,98,2,2/20,49.00,8.16,36.0,0,0
GK Berg,ITA,2021-2021,6,3,7.0,0,37,2,2/23,18.50,5.28,21.0,0,0
Z Burgess,BMUDA,2021-2021,3,3,8.0,0,60,2,1/12,30.00,7.50,24.0,0,0
RJ Campbell,HKG,2016-2016,3,3,10.0,0,68,2,2/28,34.00,6.80,30.0,0,0
P Chandran,Mex,2019-2019,3,2,4.0,0,45,2,1/22,22.50,11.25,12.0,0,0
TD Chaoana,LES,2021-2021,5,5,12.4,0,94,2,2/13,47.00,7.42,38.0,0,0
S Chaudhary,CZK-R,2022-2022,2,2,4.0,0,36,2,2/21,18.00,9.00,12.0,0,0
JF Chester,,2021-2021,4,2,5.0,0,51,2,2/33,25.50,10.20,15.0,0,0
KM Dabengwa,ZIM,2006-2010,8,7,11.0,0,106,2,1/1,53.00,9.63,33.0,0,0
DK Dahyabhai Ahir,PNM,2019-2019,2,2,3.0,0,27,2,2/11,13.50,9.00,9.0,0,0
JWM Dalrymple,ENG,2006-2007,3,3,5.0,0,39,2,1/10,19.50,7.80,15.0,0,0
Danish Aziz,PAK,2021-2021,2,1,3.0,0,29,2,2/29,14.50,9.66,9.0,0,0
JT Darrell,BMUDA,2021-2021,1,1,3.0,0,9,2,2/9,4.50,3.00,9.0,0,0
Dawlat Ahmadzai,AFG,2010-2010,2,2,4.0,0,46,2,1/21,23.00,11.50,12.0,0,0
AS Dean,CAN,2008-2013,2,2,4.0,0,32,2,2/18,16.00,8.00,12.0,0,0
AP Devcich,NZ,2013-2014,4,4,12.0,0,80,2,2/16,40.00,6.66,36.0,0,0
LHD Dilhara,SL,2008-2008,2,2,5.0,0,30,2,2/6,15.00,6.00,15.0,0,0
N Dipakkumar Patel,PNM,2019-2019,3,3,10.0,0,42,2,2/17,21.00,4.20,30.0,0,0
MR Dorgan,SRB,2021-2021,3,2,5.0,0,79,2,1/13,39.50,15.80,15.0,0,0
K Dorji,BHU,2019-2019,2,2,7.0,0,69,2,2/45,34.50,9.85,21.0,0,0
Ehsan Nawaz,HKG,2014-2017,5,5,7.4,0,79,2,1/22,39.50,10.30,23.0,0,0
AM Ellis,NZ,2012-2013,5,4,10.0,0,105,2,2/40,52.50,10.50,30.0,0,0
Faheem Nazir,SUI,2022-2022,2,2,5.1,0,44,2,2/16,22.00,8.51,15.5,0,0
Fakhrul Mohon,PORT,2019-2019,4,4,14.0,2,85,2,1/21,42.50,6.07,42.0,0,0
Festus Benn,Bhm,2022-2022,5,4,9.0,0,108,2,2/38,54.00,12.00,27.0,0,0
R Fox,Bhm,2022-2022,4,3,8.2,0,82,2,1/31,41.00,9.84,25.0,0,0
MD Garratt,GIBR,2019-2021,8,3,7.5,0,63,2,1/12,31.50,8.04,23.5,0,0
B Geeves,AUS,2009-2009,1,1,3.2,0,35,2,2/35,17.50,10.50,10.0,0,0
SKS Gill,LUX,2022-2022,2,2,4.0,0,28,2,1/14,14.00,7.00,12.0,0,0
D Gim,NGA,2019-2021,17,4,6.0,0,65,2,1/18,32.50,10.83,18.0,0,0
MS Graham,Bhm,2021-2021,6,6,17.0,0,118,2,1/16,59.00,6.94,51.0,0,0
C Green,AUS,2022-2022,1,1,3.0,0,16,2,2/16,8.00,5.33,9.0,0,0
L Gregory,ENG,2019-2021,9,5,13.0,0,117,2,1/10,58.50,9.00,39.0,0,0
Gurdeep Singh,KENYA,2021-2021,10,3,6.0,0,57,2,2/16,28.50,9.50,18.0,0,0
Hafez Farooq,Peru,2019-2019,4,1,2.0,0,14,2,2/14,7.00,7.00,6.0,0,0
NM Hauritz,AUS,2009-2009,3,2,7.2,0,47,2,1/20,23.50,6.40,22.0,0,0
PA Hitchcock,NZ,2008-2008,1,1,3.0,0,43,2,2/43,21.50,14.33,9.0,0,0
KC Hodsoll,BMUDA,2008-2021,4,4,9.0,0,59,2,2/19,29.50,6.55,27.0,0,0
EH Hutchinson,USA,2019-2021,4,3,8.0,1,31,2,2/7,15.50,3.87,24.0,0,0
Imran Ashraf,QAT,2019-2020,4,4,11.0,0,113,2,2/23,56.50,10.27,33.0,0,0
Imran Khan,1,2015-2015,3,3,12.0,0,106,2,2/35,53.00,8.83,36.0,0,0
Imran Khan,PORT,2019-2021,8,5,13.0,0,83,2,1/13,41.50,6.38,39.0,0,0
MM Iqbal,SCOT,2012-2013,6,3,8.0,0,59,2,2/15,29.50,7.37,24.0,0,0
P Jayawickrama,SL,2021-2022,5,5,13.1,0,118,2,1/29,59.00,8.96,39.5,0,0
Jitesh Patel,MLT,2022-2022,2,2,8.0,0,63,2,1/29,31.50,7.87,24.0,0,0
Jubair Hossain,BAN,2015-2015,1,1,2.0,0,20,2,2/20,10.00,10.00,6.0,0,0
Junaid Sheikh,NOR,2019-2019,5,5,16.0,1,104,2,1/21,52.00,6.50,48.0,0,0
M Kadyan,BUL,2021-2021,2,2,5.0,0,48,2,2/34,24.00,9.60,15.0,0,0
D Kalvin,SEY,2021-2021,6,3,9.0,0,76,2,2/19,38.00,8.44,27.0,0,0
AB Kamara,SLE,2021-2021,9,4,7.0,0,43,2,2/12,21.50,6.14,21.0,0,0
Kamran Shazad,UAE,2014-2014,3,3,8.4,0,77,2,2/19,38.50,8.88,26.0,0,0
G Kansonkho,MWI,2019-2021,11,3,5.0,0,41,2,2/18,20.50,8.20,15.0,0,0
D Kegasitswe,BOT,2019-2019,4,3,12.0,0,156,2,1/43,78.00,13.00,36.0,0,0
B Khumalo,BOT,2019-2021,4,4,12.5,0,109,2,1/13,54.50,8.49,38.5,0,0
AK Kitchen,NZ,2017-2018,5,3,6.0,0,46,2,1/3,23.00,7.66,18.0,0,0
IGTR Kumara,Mald,2020-2020,3,2,5.0,0,45,2,2/32,22.50,9.00,15.0,0,0
B Laughlin,AUS,2009-2013,3,3,11.5,0,118,2,1/32,59.00,9.97,35.5,0,0
M Leporoporo,LES,2021-2021,4,3,6.0,0,64,2,1/8,32.00,10.66,18.0,0,0
DB Loic,CAM,2021-2021,4,3,11.1,0,86,2,2/30,43.00,7.70,33.5,0,0
KS Lokuarachchi,SL,2012-2012,2,2,6.0,0,48,2,2/31,24.00,8.00,18.0,0,0
J Louw,SA,2008-2009,2,2,7.0,0,54,2,2/36,27.00,7.71,21.0,0,0
AJ McKay,NZ,2010-2010,2,2,5.4,0,31,2,2/20,15.50,5.47,17.0,0,0
DSK Madushanka,SL,2018-2018,2,2,5.1,0,62,2,2/23,31.00,12.00,15.5,0,0
R Mahajan,PHI,2019-2019,3,3,10.0,0,93,2,1/18,46.50,9.30,30.0,0,0
GI Maiden,SCOT,2008-2008,3,3,10.0,0,58,2,1/20,29.00,5.80,30.0,0,0
D Manani,ROM,2019-2021,3,3,7.0,0,52,2,2/25,26.00,7.42,21.0,0,0
P Manning,Caym,2019-2019,6,4,8.0,0,53,2,2/3,26.50,6.62,24.0,0,0
H Masakadza,ZIM,2006-2019,66,9,12.0,0,113,2,1/4,56.50,9.41,36.0,0,0
P Masih,ROM,2020-2020,3,3,9.0,0,49,2,2/18,24.50,5.44,27.0,0,0
MJ Mason,NZ,2006-2008,3,3,9.0,0,65,2,1/18,32.50,7.22,27.0,0,0
MV Matsau,LES,2021-2021,5,4,8.2,0,78,2,2/18,39.00,9.36,25.0,0,0
Z McLaughlin,Caym,2019-2019,3,3,7.1,0,54,2,2/30,27.00,7.53,21.5,0,0
SC Meaker,ENG,2012-2012,2,2,7.5,0,70,2,1/28,35.00,8.93,23.5,0,0
AS Mehmi,GRC,2019-2021,7,4,5.0,0,54,2,1/9,27.00,10.80,15.0,0,0
Mohammad Adnan,Saudi,2019-2019,5,5,17.0,0,120,2,1/27,60.00,7.05,51.0,0,0
Mohammad Asaduzzaman,Fin,2022-2022,3,3,10.0,0,75,2,2/34,37.50,7.50,30.0,0,0
Mohsin Hub,Peru,2019-2019,4,3,9.0,0,39,2,1/14,19.50,4.33,27.0,0,0
Muhammad Amir,MAL,2019-2022,5,3,8.0,0,88,2,1/21,44.00,11.00,24.0,0,0
Muhammad Rafique,BHR,2019-2019,2,2,5.0,0,63,2,1/31,31.50,12.60,15.0,0,0
S Murari,CRC,2019-2019,3,3,10.0,0,52,2,1/10,26.00,5.20,30.0,0,0
A Nao,PNG,2017-2022,3,3,9.0,0,88,2,2/39,44.00,9.77,27.0,0,0
M Nasim Baras,AFG,2015-2015,3,3,8.0,0,56,2,1/11,28.00,7.00,24.0,0,0
Naveed Shahid,Fin,2021-2021,4,4,11.0,0,95,2,1/27,47.50,8.63,33.0,0,0
Nawaf Ahmed,KUW,2019-2021,5,5,10.0,0,72,2,2/14,36.00,7.20,30.0,0,0
A Ndlovu,ZIM,2019-2022,6,6,18.0,0,145,2,1/16,72.50,8.05,54.0,0,0
A Nel,SA,2005-2007,2,2,8.0,0,42,2,2/19,21.00,5.25,24.0,0,0
L Nussbaumer,GUE,2019-2019,1,1,4.0,0,44,2,2/44,22.00,11.00,12.0,0,0
MMR Obili,EST,2021-2021,6,6,17.0,0,127,2,1/10,63.50,7.47,51.0,0,0
S Ogundipe,NGA,2021-2021,4,4,10.0,0,45,2,1/9,22.50,4.50,30.0,0,0
Omar Rassol,BUL,2021-2022,12,4,8.0,0,102,2,2/36,51.00,12.75,24.0,0,0
MS Panesar,ENG,2007-2007,1,1,4.0,0,40,2,2/40,20.00,10.00,12.0,0,0
NMS Param,SGP,2019-2019,8,3,8.0,0,55,2,2/24,27.50,6.87,24.0,0,0
HH Patel,MWI,2019-2019,7,5,13.0,0,104,2,2/13,52.00,8.00,39.0,0,0
H Patel,CAN,2010-2021,15,6,11.5,0,97,2,2/23,48.50,8.19,35.5,0,0
RN Patel,KENYA,2019-2021,15,1,2.0,0,7,2,2/7,3.50,3.50,6.0,0,0
GD Phillips,NZ,2017-2021,35,5,8.3,0,68,2,1/11,34.00,8.00,25.5,0,0
DBL Powell,WI,2007-2007,5,5,17.0,0,131,2,1/6,65.50,7.70,51.0,0,0
S Rakshit,CZK-R,2019-2019,6,5,12.5,0,99,2,1/11,49.50,7.71,38.5,0,0
S Ravikumar,CRC,2019-2019,3,3,6.2,0,56,2,1/12,28.00,8.84,19.0,0,0
Raza-ur-Rehman,CAN,2012-2013,5,3,9.0,0,58,2,2/16,29.00,6.44,27.0,0,0
Razmal Shigiwal,Aut,2019-2022,20,3,8.0,0,54,2,2/28,27.00,6.75,24.0,0,0
AJ Redmond,NZ,2009-2010,7,1,2.5,0,24,2,2/24,12.00,8.47,8.5,0,0
S Rengarajan,CZK-R,2020-2020,3,2,5.0,0,50,2,1/21,25.00,10.00,15.0,0,0
GA Rogers,SCOT,2008-2009,2,2,7.5,0,67,2,2/15,33.50,8.55,23.5,0,0
